Database No.,name,Inchikey ,Short,number_of_atoms,Mass,Match,R.match,Prob,Rank,Time in Seconds,RBN,RBF,PHI,N/O,high/low hinderance ,Dot,Cos
160,2-Acetyl-3-methyl-benzo-p-dioxin,CMHPVTDHZRQCAR-UHFFFAOYSA-N  ,CMHPVTDHZRQCAR,24,190.06,539,558,22.3,1,5081,1,0.026315789,2.056062056,,high,923.2624995,0.946797249
161,Amantadine,DKNWSYNQZKUICI-UHFFFAOYSA-N ,DKNWSYNQZKUICI,28,151.14,484,574,NA,NA,7278,1,0.024390244,1.928678195,,high,644.4279906,0.248608487
170,(Adamantan-1-yl)[4-(2-ethoxyphenyl)piperazin-1-yl]methanone,CERXFJHZAWSIBN-UHFFFAOYSA-N  ,CERXFJHZAWSIBN,59,368.25,375,524,0.11,52,10849,1,0.025,1.99867989,,high,511.0357835,0.431228578
188,"Adamantane-1,3,5,7-tetracarboxylic acid",VWAIZPYLEYEEFK-UHFFFAOYSA-N ,VWAIZPYLEYEEFK,38,312.08,561,564,3.75,3,37900,1,0.024390244,2.003317622,,high,930.1975781,0.934092644
191,"Adamantane, 1,3-dimethyl-",CWNOIUTVJRWADX-UHFFFAOYSA-N  ,CWNOIUTVJRWADX,32,164.16,526,552,0.05,97,11119,1,0.028571429,1.851188747,,high,576.7707915,0.552543224
192,"Adamantane-1,3-diol",MOLCWHCSXCKHAP-UHFFFAOYSA-N ,MOLCWHCSXCKHAP,28,168.12,NA,NA,NA,NA,8129,1,0.032258065,1.669011248,,high,558.9175805,0.277020686
198,Adamantane-1-carbohydrazide,FJXQVRADKYKERU-UHFFFAOYSA-N ,FJXQVRADKYKERU,32,194.14,648,668,0.58,20,10452,1,0.045454545,0.854713416,,high,876.9234827,0.954094591
201,"1-Adamantanecarboxylic acid, 1-cyclohexyliminoprop-2-yl ester N-oxide",NQPLKNMDHGQUDV-BKUYFWCQSA-N ,NQPLKNMDHGQUDV,54,319.23,NA,NA,NA,NA,50974,1,0.033333333,1.393292222,,high,839.0239647,0.933542533
203,"1-Adamantanecarboxylic acid, 2,2-dimethylpropyl ester",STDNHSQWRFEMLO-UHFFFAOYSA-N ,STDNHSQWRFEMLO,44,250.19,NA,NA,NA,NA,19311,1,0.047619048,0.762067898,,high,699.4909401,0.975320619
521,"2,2'-BIOXIRANE",ZFIVKAOQEXOYFY-UHFFFAOYNA-N,ZFIVKAOQEXOYFY,12,86.10,268,268,NA,NA,745,1,0.076923077,0.383815512,,high,174.8538669,0.206730752
542,"CYCLOPROPENE, 3-METHYL-3-VINYL-",AZGBUFPIKVKSCD-UHFFFAOYSA-N,AZGBUFPIKVKSCD,14,80.14,420,422,NA,NA,3851,1,0.071428571,0.460739407,,high,624.8556975,0.413509689
545,"AZIRIDINE, 1-ETHENYL-",VZNJDNKFUXILTJ-UHFFFAOYSA-N,VZNJDNKFUXILTJ,11,69.12,736,737,36.1,2,1131,1,0.083333333,0.484252849,,high,937.0355179,0.839270485
565,"3-ETHENYLTRICYCLO[2.2.1.0(2,6)]HEPTANE",MYKZRKOXOASWGJ-UHFFFAOYNA-N,MYKZRKOXOASWGJ,21,120.21,NA,NA,NA,NA,4433,1,0.043478261,0.563575599,,high,540.9247272,0.396209159
576,"CYCLOPROPANE, ETHENYLMETHYLENE-",MTFFBUSJVZMBOK-UHFFFAOYNA-N,MTFFBUSJVZMBOK,14,80.14,511,514,NA,NA,4008,1,0.071428571,0.592156846,,high,677.2678547,0.488270594
578,"1,1'-BICYCLOPROPYL, 1,1'-DIMETHYL-",UEKMEJJABUQZMZ-UHFFFAOYSA-N,UEKMEJJABUQZMZ,22,110.22,NA,NA,NA,NA,4969,1,0.043478261,0.595486111,,high,347.1858149,0.430873919
580,"OXIRANEMETHANOL, (R)-",CTKINSOISVBQLD-YEQUQEJONA-N,CTKINSOISVBQLD,11,74.09,539,696,0.09,22,2172,1,0.090909091,0.596850436,,high,267.2326896,0.760786704
590,"AZIRIDINE, 2-ETHYL-",CSWPOLMVXVBCSV-UHFFFAOYNA-N,CSWPOLMVXVBCSV,13,71.14,NA,NA,NA,NA,1084,1,0.071428571,0.618200032,,high,762.6079681,0.721991698
591,(AMINOMETHYL)CYCLOPROPANE,IGSKHXTUVXSOMB-UHFFFAOYSA-N,IGSKHXTUVXSOMB,13,71.14,588,597,0.16,49,1072,1,0.071428571,0.618200032,,high,834.5580915,0.777083694
594,CYCLOPROPYL CARBINOL,GUDMZGLFZNLYEY-UHFFFAOYSA-N,GUDMZGLFZNLYEY,12,72.12,428,432,NA,NA,1104,1,0.076923077,0.618200032,,high,361.1824595,0.466995154
595,3-PHENYL-1-AZA-BICYCLO[1.1.0]BUTANE,HYSAJZJNEJKIMJ-UHFFFAOYSA-N,HYSAJZJNEJKIMJ,18,131.19,523,523,0.5,39,4495,1,0.047619048,0.627548795,,high,790.1089629,0.616486085
599,"CYCLOPROPANECARBOXALDEHYDE, METHYLENE-",RVDQZNUZKSPPND-UHFFFAOYNA-N,RVDQZNUZKSPPND,11,83.12,473,474,NA,NA,2864,1,0.076923077,0.635866984,,high,453.1562599,0.405414193
605,(2-METHYLOXIRANYL)METHANOL,AAVHHYWBSVSPPN-UHFFFAOYNA-N,AAVHHYWBSVSPPN,0,88.12,494,530,NA,NA,8928,1,0.071428571,0.648515706,,high,604.4378664,0.79919317
1,"3-Cyclobutene-1,2-dione",RGBVWCQARBEPPW-UHFFFAOYSA-N,RGBVWCQARBEPPW,8,82.01,680,681,83.1,1,665,0,0,0.556193533,,high,971.5199066,0.838771946
6," 3,8-Dioxatricyclo[5.1.0.0(2,4)]octane, 4-ethenyl-",JNYASWYZHOGSHZ-UHFFFAOYSA-N,JNYASWYZHOGSHZ,20,138.07,537,537,2.22,6,4938,0,0,1.311100457,,high,426.3245933,0.448793005
7,4-Hydroxyadamantan-2-one,MDHZLHGRJCMNLA-UHFFFAOYSA-N ,MDHZLHGRJCMNLA,26,166.10,NA,NA,NA,NA,6597,0,0,1.007663061,,high,748.78145,0.487489134
12,"Spirohexane-1-carboxylic acid, ethyl ester",NMHNCGKWEZUMIX-UHFFFAOYSA-N ,NMHNCGKWEZUMIX,25,154.10,556,558,2.15,10,5199,0,0,1.277034801,,high,639.686346,0.686310512
